route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RDEC16-801-1_Weekday-14,41202828,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41202829,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41202830,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41202831,,0,107,801NB_120323
801,RDEC16-801-1_Weekday-14,41202832,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41202833,,0,111,801NB_120323
801,RDEC16-801-1_Weekday-14,41202834,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41202835,,0,110,801NB_120323
801,RDEC16-801-1_Weekday-14,41202836,,0,107,801NB_120323
801,RDEC16-801-1_Weekday-14,41202837,,0,105,801NB_120323
801,RDEC16-801-1_Weekday-14,41202838,,0,111,801NB_120323
801,RDEC16-801-1_Weekday-14,41202839,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41202840,,0,132,801NB_120323
801,RDEC16-801-1_Weekday-14,41202841,,0,121,801NB_120323
801,RDEC16-801-1_Weekday-14,41202842,,0,122,801NB_120323
801,RDEC16-801-1_Weekday-14,41202843,,0,123,801NB_120323
801,RDEC16-801-1_Weekday-14,41202844,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202845,,1,108,801SB_120323
801,RDEC16-801-1_Weekday-14,41202846,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202847,,1,101,801SB_120323
801,RDEC16-801-1_Weekday-14,41202848,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41202849,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41202850,,1,106,801SB_120323
801,RDEC16-801-1_Weekday-14,41202851,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41202852,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202853,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41202854,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41202855,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202856,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41202857,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202858,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41202859,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41202860,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202861,,1,106,801SB_120323
801,RDEC16-801-1_Weekday-14,41202862,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202863,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202864,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41202865,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41202866,,1,106,801SB_120323
801,RDEC16-801-1_Weekday-14,41202867,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41202868,,1,116,801SB_120323
801,RDEC16-801-1_Weekday-14,41202869,,1,117,801SB_120323
801,RDEC16-801-1_Weekday-14,41202870,,1,118,801SB_120323
801,RDEC16-801-1_Weekday-14,41202871,,0,131,801NB_120323
801,RDEC16-801-1_Weekday-14,41202872,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41202873,,0,133,801NB_120323
801,RDEC16-801-1_Weekday-14,41202874,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41202875,,0,110,801NB_120323
801,RDEC16-801-1_Weekday-14,41202876,,0,107,801NB_120323
801,RDEC16-801-1_Weekday-14,41202877,,0,111,801NB_120323
801,RDEC16-801-1_Weekday-14,41202878,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41202879,,0,132,801NB_120323
801,RDEC16-801-1_Weekday-14,41202880,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41202881,,0,131,801NB_120323
801,RDEC16-801-1_Weekday-14,41202882,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41202883,,0,133,801NB_120323
801,RDEC16-801-1_Weekday-14,41202884,,0,125,801NB_120323
801,RDEC16-801-1_Weekday-14,41202885,,0,126,801NB_120323
801,RDEC16-801-1_Weekday-14,41202886,,0,127,801NB_120323
801,RDEC16-801-1_Weekday-14,41202887,,0,128,801NB_120323
801,RDEC16-801-1_Weekday-14,41202888,,0,121,801NB_120323
801,RDEC16-801-1_Weekday-14,41202889,,0,122,801NB_120323
801,RDEC16-801-1_Weekday-14,41202890,,0,124,801NB_120323
801,RDEC16-801-1_Weekday-14,41202891,,0,125,801NB_120323
801,RDEC16-801-1_Weekday-14,41202892,,0,126,801NB_120323
801,RDEC16-801-1_Weekday-14,41202893,,0,127,801NB_120323
801,RDEC16-801-1_Weekday-14,41202894,,0,128,801NB_120323
801,RDEC16-801-1_Weekday-14,41202895,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202896,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41202897,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41202898,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202899,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41202900,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202901,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41202902,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41202903,,1,132,801SB_120323
801,RDEC16-801-1_Weekday-14,41202904,,1,106,801SB_120323
